date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:53	43365/43365	---M--	200	added ('OK')	text/html	etag:%22a965-5d16175539c80%22	http://localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/demo_1/pages/tables/data-table.html	C:/table/Table/localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/demo_1/pages/tables/data-table.html	(from )
16:40:54	296/296	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Feb%202022%2011:10:53%20GMT	http://localhost/robots.txt		(from )
16:40:54	163691/163691	---M--	200	added ('OK')	text/css	etag:%2227f6b-5cb4d429c1980%22	http://localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/assets/vendors/mdi/css/materialdesignicons.min.css	C:/table/Table/localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/assets/vendors/mdi/css/materialdesignicons.min.css	(from http://localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/demo_1/pages/tables/data-table.html)
16:40:56	73177/73177	---M--	200	added ('OK')	text/css	etag:%2211dd9-5d16175539c80%22	http://localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/assets/vendors/flag-icon-css/css/flag-icon.min.css	C:/table/Table/localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/assets/vendors/flag-icon-css/css/flag-icon.min.css	(from http://localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/demo_1/pages/tables/data-table.html)
16:40:58	2714/2714	---M--	200	added ('OK')	text/css	etag:%22a9a-5d16175539c80%22	http://localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/assets/vendors/css/vendor.bundle.base.css	C:/table/Table/localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/assets/vendors/css/vendor.bundle.base.css	(from http://localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/demo_1/pages/tables/data-table.html)
16:40:58	8163/8163	---M--	200	added ('OK')	text/css	etag:%221fe3-5d16175539c80%22	http://localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/assets/vendors/datatables.net-bs4/dataTables.bootstrap4.css	C:/table/Table/localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/assets/vendors/datatables.net-bs4/dataTables.bootstrap4.css	(from http://localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/demo_1/pages/tables/data-table.html)
16:40:58	822645/822645	---M--	200	added ('OK')	text/css	etag:%22c8d75-5d16175539c80%22	http://localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/assets/css/demo_1/style.css	C:/table/Table/localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/assets/css/demo_1/style.css	(from http://localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/demo_1/pages/tables/data-table.html)
16:41:00	12977/12977	---M--	200	added ('OK')	image/jpeg	etag:%2232b1-5cb4d429c1980%22	http://localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/assets/images/faces/face1.jpg	C:/table/Table/localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/assets/images/faces/face1.jpg	(from http://localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/demo_1/pages/tables/data-table.html)
16:41:00	13360/13360	---M--	200	added ('OK')	image/jpeg	etag:%223430-5cb4d429c1980%22	http://localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/assets/images/faces/face2.jpg	C:/table/Table/localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/assets/images/faces/face2.jpg	(from http://localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/demo_1/pages/tables/data-table.html)
16:41:01	15550/15550	---M--	200	added ('OK')	image/jpeg	etag:%223cbe-5cb4d429c1980%22	http://localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/assets/images/faces/face3.jpg	C:/table/Table/localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/assets/images/faces/face3.jpg	(from http://localhost/project/admin%20panel/admin%20panel/www.bootstrapdash.com/demo/xollo/template/demo_1/pages/tables/data-table.html)
