date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:48	133916/133916	---MCZ	200	added ('OK')	text/html	etag:cacheable:c4835668984f41989faaf906a8e2457e	https://organic-ishi.myshopify.com/blogs/organic?page=1	C:/blog%20page/blog%20page/organic-ishi.myshopify.com/blogs/organic2679.html	(from )
10:18:48	483/483	---MCZ	200	added ('OK')	text/plain	etag:cacheable:cc80dd685d8f3324c08e00a0fa5afd66	https://organic-ishi.myshopify.com/robots.txt		(from )
10:18:49	1107/1107	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jan%202022%2004:48:48%20GMT	http://cdn.shopify.com/s/files/1/0086/0251/7559/files/favicon_32x32.png?v=1560257290	C:/blog%20page/blog%20page/cdn.shopify.com/s/files/1/0086/0251/7559/files/favicon_32x32c72d.png	(from https://organic-ishi.myshopify.com/blogs/organic?page=1)
10:18:50	1123/1123	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2002%20Jan%202022%2004:48:50%20GMT	http://cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/cart-notification.js?v=8479193033808094738	C:/blog%20page/blog%20page/cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/cart-notificationbdba.js	(from https://organic-ishi.myshopify.com/blogs/organic?page=1)
10:18:50	133881/133881	---MCZ	200	added ('OK')	text/html	etag:cacheable:9a0c703a3697af82551fc181f02a5514	https://organic-ishi.myshopify.com/blogs/organic	C:/blog%20page/blog%20page/organic-ishi.myshopify.com/blogs/organic.html	(from https://organic-ishi.myshopify.com/blogs/organic?page=1)
10:18:50	15842/15842	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2002%20Jan%202022%2004:48:49%20GMT	http://cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/global.js?v=14146489360800868956	C:/blog%20page/blog%20page/cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/globalc94a.js	(from https://organic-ishi.myshopify.com/blogs/organic?page=1)
10:18:51	7622/7622	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2002%20Jan%202022%2004:48:51%20GMT	http://cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/lazysizes.js?v=16228223864333580386	C:/blog%20page/blog%20page/cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/lazysizes4045.js	(from https://organic-ishi.myshopify.com/blogs/organic?page=1)
10:18:51	15712/15712	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2002%20Jan%202022%2004:48:51%20GMT	http://cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/shop.js?v=13019091293576427893	C:/blog%20page/blog%20page/cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/shopa10e.js	(from https://organic-ishi.myshopify.com/blogs/organic?page=1)
10:18:52	13236/13236	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:4a3643f58635e3ff6c9998ff3db7a068	https://organic-ishi.myshopify.com/blogs/organic.atom	C:/blog%20page/blog%20page/organic-ishi.myshopify.com/blogs/organic.atom	(from https://organic-ishi.myshopify.com/blogs/organic?page=1)
10:18:53	1922/1922	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2002%20Jan%202022%2004:48:53%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	C:/blog%20page/blog%20page/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	(from https://organic-ishi.myshopify.com/blogs/organic?page=1)
