date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:55	483/483	---MCZ	200	added ('OK')	text/plain	etag:cacheable:cc80dd685d8f3324c08e00a0fa5afd66	https://organic-ishi.myshopify.com/robots.txt		(from )
21:34:55	311638/311638	---MCZ	200	added ('OK')	text/html	etag:cacheable:b8e3d0528a1cf043a61dba6f5b427c05	https://organic-ishi.myshopify.com/collections/organic-products?_ab=0&_fd=0&_sc=1	C:/collection%20page/collection/organic-ishi.myshopify.com/collections/organic-products3631.html	(from )
21:34:57	1107/1107	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jan%202022%2016:04:56%20GMT	http://cdn.shopify.com/s/files/1/0086/0251/7559/files/favicon_32x32.png?v=1560257290	C:/collection%20page/collection/cdn.shopify.com/s/files/1/0086/0251/7559/files/favicon_32x32c72d.png	(from https://organic-ishi.myshopify.com/collections/organic-products?_ab=0&_fd=0&_sc=1)
21:35:00	15842/15842	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Jan%202022%2016:04:59%20GMT	http://cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/global.js?v=14146489360800868956	C:/collection%20page/collection/cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/globalc94a.js	(from https://organic-ishi.myshopify.com/collections/organic-products?_ab=0&_fd=0&_sc=1)
21:35:00	311638/311638	---MCZ	200	added ('OK')	text/html	etag:cacheable:b8e3d0528a1cf043a61dba6f5b427c05	https://organic-ishi.myshopify.com/collections/organic-products	C:/collection%20page/collection/organic-ishi.myshopify.com/collections/organic-products.html	(from https://organic-ishi.myshopify.com/collections/organic-products?_ab=0&_fd=0&_sc=1)
21:35:00	2730/2730	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Jan%202022%2016:05:01%20GMT	http://cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/cart-notification.js?v=8479193033808094738	C:/collection%20page/collection/cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/cart-notificationbdba.js	(from https://organic-ishi.myshopify.com/collections/organic-products?_ab=0&_fd=0&_sc=1)
21:35:01	7622/7622	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Jan%202022%2016:05:01%20GMT	http://cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/lazysizes.js?v=16228223864333580386	C:/collection%20page/collection/cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/lazysizes4045.js	(from https://organic-ishi.myshopify.com/collections/organic-products?_ab=0&_fd=0&_sc=1)
21:35:02	15715/15715	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Jan%202022%2016:05:01%20GMT	http://cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/shop.js?v=13019091293576427893	C:/collection%20page/collection/cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/shopa10e.js	(from https://organic-ishi.myshopify.com/collections/organic-products?_ab=0&_fd=0&_sc=1)
21:35:04	26131/26131	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:8258e1cee255d58b705b809a5e3b8c9e	https://organic-ishi.myshopify.com/collections/organic-products.atom	C:/collection%20page/collection/organic-ishi.myshopify.com/collections/organic-products.atom	(from https://organic-ishi.myshopify.com/collections/organic-products?_ab=0&_fd=0&_sc=1)
21:35:04	18977/18977	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:6b0777f898c59033132e91a9122a6c26	https://organic-ishi.myshopify.com/collections/organic-products.oembed	C:/collection%20page/collection/organic-ishi.myshopify.com/collections/organic-products.oembed	(from https://organic-ishi.myshopify.com/collections/organic-products?_ab=0&_fd=0&_sc=1)
