date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:45:57	483/483	---MCZ	200	added ('OK')	text/plain	etag:cacheable:cc80dd685d8f3324c08e00a0fa5afd66	https://organic-ishi.myshopify.com/robots.txt		(from )
22:45:58	620175/620175	---MCZ	200	added ('OK')	text/html	etag:cacheable:1a6f3f045536ab75b6a32e1d11992803	https://organic-ishi.myshopify.com/?_ab=0&_fd=0&_sc=1	C:/home%20page/home%20page/organic-ishi.myshopify.com/index3631.html	(from )
22:45:59	1107/1107	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Jan%202022%2017:15:58%20GMT	http://cdn.shopify.com/s/files/1/0086/0251/7559/files/favicon_32x32.png?v=1560257290	C:/home%20page/home%20page/cdn.shopify.com/s/files/1/0086/0251/7559/files/favicon_32x32c72d.png	(from https://organic-ishi.myshopify.com/?_ab=0&_fd=0&_sc=1)
22:46:00	1123/1123	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2001%20Jan%202022%2017:15:59%20GMT	http://cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/cart-notification.js?v=8479193033808094738	C:/home%20page/home%20page/cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/cart-notificationbdba.js	(from https://organic-ishi.myshopify.com/?_ab=0&_fd=0&_sc=1)
22:46:01	15842/15842	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2001%20Jan%202022%2017:15:59%20GMT	http://cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/global.js?v=14146489360800868956	C:/home%20page/home%20page/cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/globalc94a.js	(from https://organic-ishi.myshopify.com/?_ab=0&_fd=0&_sc=1)
22:46:02	7622/7622	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2001%20Jan%202022%2017:16:00%20GMT	http://cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/lazysizes.js?v=16228223864333580386	C:/home%20page/home%20page/cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/lazysizes4045.js	(from https://organic-ishi.myshopify.com/?_ab=0&_fd=0&_sc=1)
22:46:02	620175/620175	---MCZ	200	added ('OK')	text/html	etag:cacheable:1a6f3f045536ab75b6a32e1d11992803	https://organic-ishi.myshopify.com/	C:/home%20page/home%20page/organic-ishi.myshopify.com/index.html	(from https://organic-ishi.myshopify.com/?_ab=0&_fd=0&_sc=1)
22:46:03	15712/15712	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2001%20Jan%202022%2017:16:01%20GMT	http://cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/shop.js?v=13019091293576427893	C:/home%20page/home%20page/cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/shopa10e.js	(from https://organic-ishi.myshopify.com/?_ab=0&_fd=0&_sc=1)
22:46:05	150074/150074	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2001%20Jan%202022%2017:15:58%20GMT	http://cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/includes.min.js?v=13866048264162535520	C:/home%20page/home%20page/cdn.shopify.com/s/files/1/0086/0251/7559/t/4/assets/includes.min38fd.js	(from https://organic-ishi.myshopify.com/?_ab=0&_fd=0&_sc=1)
22:46:05	620835/620835	---MCZ	200	added ('OK')	text/html	etag:cacheable:dc45a8a7becc943990ce6d745264a0b3	https://organic-ishi.myshopify.com/ar	C:/home%20page/home%20page/organic-ishi.myshopify.com/ar.html	(from https://organic-ishi.myshopify.com/?_ab=0&_fd=0&_sc=1)
22:46:05	621883/621883	---MCZ	200	added ('OK')	text/html	etag:cacheable:20c02e23969e5789b8dd917529506044	https://organic-ishi.myshopify.com/es	C:/home%20page/home%20page/organic-ishi.myshopify.com/es.html	(from https://organic-ishi.myshopify.com/?_ab=0&_fd=0&_sc=1)
